epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,51544.7,1.21059,1.74298,1.4166,0.85173,0.81103,0.88566,0.52754,1.01583,2.01727,0.99737,0.00544345,0.00544345,0.00544345
128,52337,1.20989,1.74528,1.41655,0.85347,0.80959,0.88606,0.52771,1.01578,2.01153,0.99714,0.00538691,0.00538691,0.00538691
129,53131,1.20669,1.7551,1.41774,0.85215,0.81174,0.88661,0.52822,1.01566,2.00677,0.99675,0.00533039,0.00533039,0.00533039
130,53924.4,1.20738,1.7462,1.42133,0.85207,0.8121,0.88677,0.5283,1.01531,1.99891,0.99641,0.0052739,0.0052739,0.0052739
131,54716.4,1.20168,1.74175,1.41482,0.85033,0.81348,0.88657,0.52818,1.01539,1.9886,0.99596,0.00521744,0.00521744,0.00521744
132,55508.4,1.20358,1.72982,1.41009,0.85119,0.81444,0.88688,0.52837,1.01522,1.98708,0.99543,0.00516103,0.00516103,0.00516103
133,56301.4,1.19953,1.73544,1.41416,0.85069,0.81468,0.88727,0.52897,1.01467,1.97956,0.99509,0.00510467,0.00510467,0.00510467
134,57095.3,1.20116,1.72971,1.41334,0.85218,0.81525,0.88758,0.52948,1.01471,1.97235,0.99496,0.00504837,0.00504837,0.00504837
135,57890.6,1.20355,1.71773,1.40654,0.85356,0.81565,0.88787,0.52973,1.01419,1.96304,0.9945,0.00499215,0.00499215,0.00499215
136,58682.8,1.19801,1.72512,1.40978,0.85373,0.81642,0.88846,0.52982,1.01372,1.95781,0.99411,0.004936,0.004936,0.004936
137,59476.4,1.19455,1.70517,1.40409,0.85541,0.81539,0.88841,0.52996,1.01332,1.95193,0.99376,0.00487994,0.00487994,0.00487994
138,60271,1.19721,1.71473,1.40509,0.85544,0.81539,0.88889,0.53031,1.01355,1.942,0.99341,0.00482398,0.00482398,0.00482398
139,61065.4,1.18789,1.70191,1.4007,0.85565,0.81706,0.88945,0.53045,1.01346,1.93746,0.9931,0.00476813,0.00476813,0.00476813
140,61859,1.19345,1.71906,1.40035,0.85658,0.81536,0.88953,0.53031,1.01367,1.93108,0.99312,0.0047124,0.0047124,0.0047124
141,62652.9,1.19335,1.70614,1.40266,0.85804,0.81558,0.88999,0.53066,1.01337,1.92636,0.99277,0.00465678,0.00465678,0.00465678
142,63443.9,1.18472,1.67951,1.39995,0.86019,0.81316,0.89042,0.53135,1.01341,1.92373,0.99253,0.00460131,0.00460131,0.00460131
143,64237,1.19125,1.68979,1.39993,0.86152,0.8135,0.89122,0.53164,1.0128,1.91702,0.99206,0.00454597,0.00454597,0.00454597
144,65028.4,1.19591,1.70112,1.40023,0.86165,0.81348,0.89155,0.53165,1.01272,1.91221,0.9918,0.00449078,0.00449078,0.00449078
145,65821.7,1.1805,1.67663,1.39575,0.85966,0.81551,0.89175,0.53198,1.01244,1.90078,0.99139,0.00443575,0.00443575,0.00443575
146,66614.7,1.17971,1.69005,1.3947,0.86027,0.81573,0.89163,0.53224,1.0122,1.89176,0.99066,0.0043809,0.0043809,0.0043809
147,67409,1.178,1.66988,1.39483,0.85955,0.817,0.89182,0.53228,1.01179,1.88592,0.9903,0.00432621,0.00432621,0.00432621
148,68200,1.18233,1.67047,1.39017,0.85939,0.81785,0.8917,0.53292,1.01193,1.88078,0.99017,0.00427172,0.00427172,0.00427172
149,68991.7,1.1749,1.66513,1.38903,0.86044,0.81749,0.89193,0.53308,1.01164,1.87471,0.9901,0.00421741,0.00421741,0.00421741
150,69782.5,1.18238,1.67312,1.39365,0.85943,0.81749,0.892,0.53313,1.01137,1.87037,0.98972,0.00416331,0.00416331,0.00416331
151,70576.3,1.18389,1.67936,1.38969,0.85961,0.81808,0.89211,0.53308,1.01102,1.86282,0.98959,0.00410942,0.00410942,0.00410942
152,71367.2,1.1785,1.65246,1.38578,0.85895,0.81829,0.89256,0.53355,1.01135,1.85567,0.98946,0.00405575,0.00405575,0.00405575
153,72162.3,1.17737,1.65918,1.38817,0.8582,0.8187,0.89272,0.53371,1.0106,1.85179,0.989,0.00400231,0.00400231,0.00400231
154,72957.3,1.17593,1.65198,1.38634,0.85741,0.81887,0.89309,0.5339,1.01049,1.84769,0.98863,0.00394911,0.00394911,0.00394911
155,73748.6,1.16675,1.64647,1.38497,0.85962,0.81794,0.89311,0.53423,1.01004,1.84246,0.98839,0.00389615,0.00389615,0.00389615
156,74540,1.17017,1.64288,1.38359,0.86094,0.8174,0.89335,0.53472,1.00927,1.83825,0.98751,0.00384344,0.00384344,0.00384344
157,75332.1,1.16878,1.62537,1.37952,0.86154,0.81795,0.89343,0.53481,1.00921,1.83022,0.98713,0.00379099,0.00379099,0.00379099
158,76123.5,1.17073,1.63436,1.38783,0.86183,0.81852,0.89397,0.53537,1.00851,1.82233,0.98671,0.00373882,0.00373882,0.00373882
159,76912.4,1.16395,1.62853,1.38182,0.86176,0.81863,0.8939,0.53553,1.00797,1.81258,0.98627,0.00368692,0.00368692,0.00368692
160,77704.7,1.16513,1.61621,1.37903,0.8618,0.81895,0.89401,0.53631,1.00782,1.80099,0.986,0.00363531,0.00363531,0.00363531
161,78500.9,1.16844,1.61779,1.3786,0.8622,0.8194,0.8943,0.53621,1.00713,1.78839,0.98549,0.00358399,0.00358399,0.00358399
